Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00319,22 - Technische Natuurkunde,22.01.02.500,A 250,Study Area,Study Area,2e verdieping,52.00171,4.374222,24,0,rustig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00321,22 - Technische Natuurkunde,22.00.00.010,F 001,Hallway,Hallway,begane grond,52.001548,4.373703,11,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
23SSP006,22 - Technische Natuurkunde,22.00.00.025,F 025,Hallway,Hallway,begane grond,52.000881,4.374046,8,0,rumoerig,kunstmatig licht,nee,nee,nee,nvt,0-50m,0-25m
SSP00323,22 - Technische Natuurkunde,22.00.00.750,F 075,Hallway,Hallway,begane grond,52.000576,4.37435,32,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00324,22 - Technische Natuurkunde,22.00.00.990,F 099,Hallway,Hallway,begane grond,52.000287,4.374516,4,0,rumoerig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00325,22 - Technische Natuurkunde,22.00.01.010,F 101,Hallway,Hallway,1e verdieping,52.001548,4.373703,12,0,rumoerig,kunstmatig licht,ja (<1 pp),onbekend,onbekend,0-25m,onbekend,0-25m
SSP00326,22 - Technische Natuurkunde,22.00.01.250,F 125,Hallway,Hallway,1e verdieping,52.001226,4.373895,10,0,rumoerig,daglicht,ja (<1 pp),onbekend,onbekend,0-25m,onbekend,0-25m
SSP00327,22 - Technische Natuurkunde,22.00.01.500,F 150,Hallway,Hallway,1e verdieping,52.000887,4.374163,4,0,rumoerig,kunstmatig licht,nee,onbekend,onbekend,0-25m,onbekend,0-25m
SSP00328,22 - Technische Natuurkunde,22.00.01.750,F 175,Hallway,Hallway,1e verdieping,52.000576,4.37435,12,0,rumoerig,daglicht,nee,onbekend,onbekend,0-25m,onbekend,0-25m
SSP00329,22 - Technische Natuurkunde,22.00.02.010,F 201,Hallway,Hallway,2e verdieping,52.001548,4.373703,6,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
